listing_id,room_type,property_type,accommodates,bedrooms,beds,bathrooms,listing_price,minimum_nights,maximum_nights,instant_bookable,is_superhost,host_listing_count,neighbourhood_name,total_reviews_before_cutoff,unique_reviewers_before_cutoff,avg_comment_len_before_cutoff,max_comment_len_before_cutoff,days_since_last_review,available_days_history,available_rate_history,avg_minimum_nights_calendar_history,avg_maximum_nights_calendar_history,available_days_last_30d,available_rate_last_30d,future_calendar_days_observed_30d,future_available_days_30d,future_available_rate_30d,high_demand_proxy,cutoff_date,dataset_version,has_reviews
27886,Private room,Private room in houseboat,2,1.0,1.0,1.5,132.0,3,356,False,True,1,Centrum-West,311.0,311.0,302.16720257234726,1917.0,338.0,0,0.0,3.0,30.0,0,0.0,30,0,0.0,1,2026-08-11,v1_student,1
28871,Private room,Private room in rental unit,2,1.0,1.0,1.0,89.0,2,730,False,True,2,Centrum-West,732.0,729.0,201.2363387978142,1265.0,338.0,46,0.5054945054945055,2.0,730.0,14,0.4666666666666667,30,21,0.7,0,2026-08-11,v1_student,1
29051,Private room,Private room in condo,2,1.0,1.0,1.0,61.0,2,730,False,True,2,Centrum-Oost,849.0,841.0,245.10836277974087,2253.0,337.0,43,0.4725274725274725,2.0,730.0,16,0.5333333333333333,30,0,0.0,1,2026-08-11,v1_student,1
44391,Entire home/apt,Entire rental unit,4,2.0,,1.5,,3,730,False,False,1,Centrum-Oost,42.0,42.0,242.3095238095238,891.0,1452.0,0,0.0,3.0,730.0,0,0.0,30,0,0.0,1,2026-08-11,v1_student,1
48373,Entire home/apt,Entire rental unit,4,2.0,,1.5,,3,1125,False,False,1,Buitenveldert - Zuidas,5.0,5.0,272.2,949.0,835.0,0,0.0,3.0,1125.0,0,0.0,30,0,0.0,1,2026-08-11,v1_student,1
49552,Entire home/apt,Entire guest suite,3,2.0,2.0,1.0,322.0,3,1125,False,True,1,Centrum-West,609.0,605.0,352.82758620689657,1799.0,350.0,48,0.5274725274725275,3.0,1125.0,0,0.0,30,26,0.8666666666666667,0,2026-08-11,v1_student,1
50263,Entire home/apt,Entire condo,4,2.0,3.0,1.5,457.0,2,14,False,False,1,Centrum-Oost,177.0,177.0,443.66101694915255,2467.0,344.0,91,1.0,2.0,1125.0,30,1.0,30,30,1.0,0,2026-08-11,v1_student,1
50515,Entire home/apt,Entire townhouse,5,3.0,3.0,1.5,198.0,7,18,False,False,1,Bos en Lommer,20.0,20.0,303.1,533.0,353.0,91,1.0,7.0,18.0,30,1.0,30,30,1.0,0,2026-08-11,v1_student,1
50523,Entire home/apt,Entire condo,2,1.0,1.0,1.0,162.0,2,365,False,True,1,Centrum-West,563.0,560.0,263.39964476021316,1454.0,352.0,80,0.8791208791208791,2.0,365.0,22,0.7333333333333333,30,26,0.8666666666666667,0,2026-08-11,v1_student,1
53921,Entire home/apt,Entire rental unit,3,1.0,,1.0,,1,21,False,False,1,IJburg - Zeeburgereiland,12.0,12.0,262.0833333333333,886.0,808.0,0,0.0,1.0,21.0,0,0.0,30,0,0.0,1,2026-08-11,v1_student,1
55709,Entire home/apt,Entire loft,2,1.0,,1.5,,11,30,False,False,1,Centrum-Oost,69.0,68.0,502.17391304347825,1983.0,455.0,0,0.0,11.0,30.0,0,0.0,30,0,0.0,1,2026-08-11,v1_student,1
55868,Entire home/apt,Entire condo,4,2.0,,1.5,,3,21,False,False,1,Zuid,96.0,96.0,375.90625,1272.0,1100.0,0,0.0,3.0,21.0,0,0.0,30,0,0.0,1,2026-08-11,v1_student,1
62015,Entire home/apt,Entire rental unit,2,1.0,,1.5,,30,30,False,False,1,Oud-Oost,38.0,38.0,345.2631578947368,1307.0,863.0,0,0.0,30.0,30.0,0,0.0,30,0,0.0,1,2026-08-11,v1_student,1
80635,Private room,Private room in home,1,1.0,,1.5,,3,1125,False,False,4,Centrum-West,241.0,241.0,285.46058091286307,1476.0,1319.0,0,0.0,3.0,1125.0,0,0.0,30,0,0.0,1,2026-08-11,v1_student,1
