,0
available_rate_last_30d,0.3018694806996105
available_days_last_30d,0.21813733234936195
available_rate_history,0.20579754446620532
available_days_history,0.18337070316193574
listing_price,0.02355843108899471
beds,0.012129039056556429
days_since_last_review,0.011278752879773039
unique_reviewers_before_cutoff,0.0044599262564261055
total_reviews_before_cutoff,0.004221048245522927
host_listing_count,0.003888741137017728
avg_maximum_nights_calendar_history,0.003848914345794784
maximum_nights,0.003354255548567023
avg_minimum_nights_calendar_history,0.0030690299231970254
max_comment_len_before_cutoff,0.002772143621036339
room_type_Private room,0.002525944652460823
minimum_nights,0.0022209923356511685
avg_comment_len_before_cutoff,0.001845734194731763
instant_bookable,0.0018256618806873155
is_superhost,0.0014783031392273049
bedrooms,0.0011317955092304713
accommodates,0.0010303892036571337
bathrooms,0.0008243323245090002
has_reviews,0.0005308074270331549
property_type_Entire rental unit,0.0005136845228799938
property_type_Private room in bed and breakfast,0.0004190851849260421
property_type_Entire condo,0.0003900485382508816
property_type_Entire serviced apartment,0.0003770049039819956
neighbourhood_name_Centrum-Oost,0.0003362732361247157
property_type_Entire home,0.0002991111310528347
neighbourhood_name_De Baarsjes - Oud-West,0.0002891754962909926
property_type_Room in hotel,0.00019622189007764516
neighbourhood_name_De Pijp - Rivierenbuurt,0.0001667709914137035
neighbourhood_name_Bos en Lommer,0.00016020096630969255
property_type_Private room in rental unit,0.00013577437994620678
neighbourhood_name_Centrum-West,0.00013349229501954046
property_type_Room in boutique hotel,0.00013337435402993657
neighbourhood_name_Westerpark,0.00013222889334721464
neighbourhood_name_Oud-Noord,0.00012831730019131573
property_type_Entire loft,0.00010094165246977987
room_type_Hotel room,9.876334236558588e-05
neighbourhood_name_Zuid,9.144481355196031e-05
neighbourhood_name_Geuzenveld - Slotermeer,7.922439400655236e-05
neighbourhood_name_Oud-Oost,7.758864416490667e-05
neighbourhood_name_Watergraafsmeer,7.634974250360036e-05
neighbourhood_name_Slotervaart,5.750260808157992e-05
neighbourhood_name_Noord-West,5.200668558325605e-05
neighbourhood_name_Oostelijk Havengebied - Indische Buurt,4.3713181734453874e-05
property_type_Entire guesthouse,4.158716182074832e-05
property_type_Private room in condo,3.880543891201053e-05
property_type_Entire townhouse,3.7931173607759936e-05
property_type_Houseboat,3.314524177490369e-05
property_type_Private room in houseboat,3.116136694796544e-05
neighbourhood_name_Noord-Oost,2.4958522028833793e-05
neighbourhood_name_De Aker - Nieuw Sloten,2.4364124070396812e-05
neighbourhood_name_IJburg - Zeeburgereiland,2.138064212728796e-05
property_type_Boat,1.616321818214549e-05
property_type_Private room in boat,1.5341572849917425e-05
property_type_Private room in guest suite,1.3423990584747557e-05
neighbourhood_name_Buitenveldert - Zuidas,1.0589120072361403e-05
property_type_Private room in townhouse,8.941433689750131e-06
property_type_Private room in home,7.28619675995081e-06
room_type_Shared room,7.2647284000469356e-06
neighbourhood_name_Bijlmer-Oost,3.1963199941094355e-06
neighbourhood_name_Gaasperdam - Driemond,3.1751672417207193e-06
property_type_Shared room in hotel,2.942677666415913e-06
neighbourhood_name_Osdorp,7.393077769302585e-07
property_type_Casa particular,0.0
property_type_Cave,0.0
property_type_Camper/RV,0.0
property_type_Earthen home,0.0
property_type_Shared room in hostel,0.0
property_type_Entire cabin,0.0
property_type_Yurt,0.0
property_type_Tower,0.0
property_type_Tiny home,0.0
property_type_Tent,0.0
property_type_Shepherd’s hut,0.0
property_type_Shared room in houseboat,0.0
property_type_Entire vacation home,0.0
property_type_Room in hostel,0.0
property_type_Shared room in home,0.0
property_type_Shared room in bed and breakfast,0.0
property_type_Hut,0.0
property_type_Private room,0.0
property_type_Private room in barn,0.0
property_type_Private room in bungalow,0.0
property_type_Private room in cabin,0.0
property_type_Private room in casa particular,0.0
property_type_Private room in cottage,0.0
property_type_Entire place,0.0
property_type_Private room in farm stay,0.0
property_type_Private room in guesthouse,0.0
property_type_Private room in hostel,0.0
property_type_Private room in hut,0.0
property_type_Private room in loft,0.0
property_type_Private room in nature lodge,0.0
property_type_Private room in serviced apartment,0.0
property_type_Private room in tiny home,0.0
property_type_Private room in vacation home,0.0
property_type_Private room in villa,0.0
property_type_Private room in windmill,0.0
property_type_Room in aparthotel,0.0
property_type_Room in bed and breakfast,0.0
property_type_Entire guest suite,0.0
property_type_Entire villa,0.0
property_type_Entire cottage,0.0
property_type_Room in serviced apartment,0.0
property_type_Private room in earthen home,0.0
